"Title of the product","Description of the product","Price of the product","Condition of the product","Ad Posted Date","Name of the seller"
"17"" Dell Lcd Monitor For Cctv And Pc","17"" Dell Lcd Monitor for cctv and pc Call@9741662270","रू. 3,000","| Used","2 months ago","DpSharma@ComputerShop"
"ViewSonic Monitor Size 17 Inch Lcd","ViewSonic monitor size 17 inch lcd phulfres","रू. 3,100","| Like New","6 months ago","SK Gupta"
"Fantech Monitor Stand Desk ACGD171","Product details of Fantech Monitor Stand Desk ACGD171 STURDY STRUCTURE - Built with Steel C-Clamp mount, provides a sturdy and stable structure which can withstand up to 20kg. MAXIMIZED DESK SPACE - ACGD171 adds a seperate surface for your monitor while leaving your entire desk surface clear. PREMIUM MATERIAL - Constructed with high quality durable materials, our carbon fiber surface is resistant to scratches and water damage. yet effortlessly east to maintain. ERGONOMIC DESIGN - Elevate your ho","रू. 3,200","| Brand New","15 days ago","Bagmati Office Suppliers Https://Bagmatisuppliers.Com.Np"
"Samsung Monitor Size 17 Inch Lcd","Samsung monitor size 17 inch lcd","रू. 3,200","| Like New","11 months ago","SK Gupta"
"Samsung Monitor","Genuine Samsung monitor 17"" LCD . Model 740 N Like new . Made in malaysia price 3200 only","रू. 3,200","| Used","3 months ago","Private Market"
"Samsung 17"" LED Monitor","Contact us :- WhatsApp/Viber 9851027794 / 9813272598","रू. 3,500","| Like New","1 years ago","Kathmandu Laptop Service (WhatsApp 9851027794)"
"HP Monitor Size 17 Inch Lcd","HP monitor size 17 inch lcd phulfres","रू. 3,500","| Like New","7 months ago","SK Gupta"
"North Bayou Single Monitor Arm Desk Mount NB-F80","NB North Bayou Monitor Desk Mount Stand Full Motion Swivel Monitor Arm with Gas Spring for 17-30”Monitors(Within 4.4lbs to 19.8lbs) Computer Monitor Stand F80 Long Extension Built-in quality Gas Spring Easy Installation Swivel Flexibility Tilt +85° and -30° 360° Rotation","रू. 3,999","| Brand New","2 months ago","Bagmati Office Suppliers Https://Bagmatisuppliers.Com.Np"
"Dell Monitor Size 17 Inch Lcd","Dell monitor size 17 inch suare","रू. 4,100","| Like New","2 years ago","SK Gupta"
"JD Kee 17 Inch LED Monitor With HDMI & VGA","Brand: JD Kee BRIGHTNESS : 300 CD/M2 RESOLUTION: 1024×768 DISPLAY COLORS : 16.7 MILLION Refresh Rate : 60Hz Screen Size : 17.3 Inches Hardware Interface : VGA, HDMI Warranty: 1 Year Price: 4200 Magic Computer Solution Newroad, Sankata, Kathmandu ☎️ 01-5914141, 📱9849740418, 9821807037 (Call/whatsApp/Viber) 🌐 https://www.magicsolution.com.np/ 🌐https://www.facebook.com/magicsolutionnepal/","रू. 4,200","| Brand New","11 days ago","Magic Computer Solution"
"NB North Bayou F150, 17"" To 27"" Monitor Arm","About this item Fits most 17""-27"" monitors, Support load from 2.5-7 kg VESA compliant 75x75, 100x100 mm, Upright lift distance: 6.2” (155mm) Rotation: 180°, Swivel:180°+, Tilt angle: +30° to -50° Desktop clamp grip range (desk thickness) - 25mm to 95mm","रू. 4,200","| Brand New","20 days ago","Bagmati Office Suppliers Https://Bagmatisuppliers.Com.Np"
"Dell 17inch Monitor","Dell 17inch Monitor","रू. 4,200","| Brand New","7 months ago","Bagmati Office Suppliers Https://Bagmatisuppliers.Com.Np"
"15 Inch Hitech Led Monitor With VGA & HDMI","Monitor Size : 15 inch FHD Monitor Viewing Angle : H160/V140 Max Brightness : 350cd/m2 Max Contrast Ratio : 100000:1 (DCR) Port : VGA, HDMI, Response Time : 5s Resolution : 1024X768 Colors : 16.7M (6-bit+Hi+FRC) Power Consumption : 12W","रू. 4,499","| Brand New","2 months ago","New One IT Store"
"JD KEE MONITOR -17""","Panel Size: (19inch) Ideal resolution: 1024×768 Max Contrast Ratio: 10000/1(Dynamic) Pixel Pitch: 0.297(H)*0.297(V)mm Response Time: 5ms Viewing Angle: H170/V160(CR>10) Number of Colors: 16.7m FOR MORE DETAILS PLEASE CONTACT US ON 9854028092 (Whatsapp,Viber)Thank You.","रू. 4,500","| Brand New","8 months ago","Informix Technologies"
"ZILLIAN TEC MONITOR 17""","Brand: Zillion Model: ZL1701 (17"" Monitor 4:3) 5000:1 Contrast Ratio Auto Resolution Detection 1024 X 768 HD Resolution 5ms Refresh Rate Multilingual OSD Zize: 422x104x370mm Input: 1x Vga Port FOR MORE DETAILS CONTACT ON 9854028092 (WHATSAPP,VIBER).THANK YOU","रू. 4,500","| Brand New","8 months ago","Informix Technologies"
"NB North Bayou H80 Full Motion Monitor Desk Mount","About this item Fits: Most 17"" to 27"" Monitors & LCD/ LED TVS, Load 2Kg to 9Kg. VESA compliant 75 x 75, 100 x 100 mm Rotation 360° Swivel ±90° Tilt angle +85° to -30° Upright lift distance 260mm, Maximum height to centre of VESA mount 550mm Maximum extension 550mm","रू. 4,500","| Brand New","20 days ago","Bagmati Office Suppliers Https://Bagmatisuppliers.Com.Np"
"Single Monitor Desktop Arm Mount","Fits most 17"" to 30"" Monitors. Supports monitor weights from 2 to 9 KG. VESA compliant 75 x 75, 100 x 100 mm, Upright lift distance 9.8” (260mm) Rotation 360°, Swivel 180°+, Tilt angle +85° to -30° Product produced only in black powder coated finish for this model.","रू. 4,500","| Brand New","19 days ago","KathmanduTraders"
"North Bayou Single Monitor Arm Desk Mount NB-F80","UNIVERSAL: Fits Most 17” – 30” Monitor with the load from 4.4 lbs up to 19.8 lbs, VESA compliant 75×75mm 100×100mm,while, The whole VESA Plate is 118*118mm, Extra Longer Screw & Screw spacer may be needed if your VESA hole is inside a recession area. Pls noted that VESA plate part support 360-degree rotation(Rotate it to right position as needed) FULLY ADJUSTABLE: The durable gas spring system ensure easy positioning of your monitor in any desirable position; Personalize your workstation any way","रू. 4,500","| Brand New","7 months ago","Technoholic Nepal"
"Samsung Monitor Size 19 Lcd","Samsung monitor LCD screen size 19","रू. 4,500","| Like New","10 months ago","SK Gupta"
"Dell 19""Monitor","dell monitor 19'"" best for office use urgent sale 9849826402","रू. 4,500","| Like New","5 days ago","TECH VERSE SOLUTIONS"
"Asus Monitor Lcd Size 19","Asus monitor size 19 inch Lcd","रू. 4,800","| Like New","1 years ago","SK Gupta"
"Hitech 15 Inch Monitor With VGA And HDMI Port","Panel Size: 15.6 inch 473.76×296.1mm (HxV) Viewing Angle H160/V140 Max Brightness: 350cd/m2 Max Contrast Ratio: 100000:1 (DCR) Port: VGA, HDMI, AC Response Time: 5s Resolution: 1024x768 Colors: 16.7M (6-bit+Hi+FRC) Consumption: 12W","रू. 4,900","| Brand New","1 years ago","AB Tech"
"Haylou RT LS05S Smartwatch Heart Rate Monitor (Smart Watch & Bands)","Support online replacement of dial, 12 movement modes All-day heart rate monitoring, 20 days long standby Curve wrist-fitting Design More Comfortable and Stylish Latest Haylou RT LS05SHas accurate blood oxygen monitoring function(SpO2)","रू. 4,950","| Brand New","1 years ago","AB Tech"
"Monitor Desk Mount Stand Full Motion Single","Features & details ☑UNIVERSAL: Fits Most 17'' - 30'' Monitor with the load from 4.4 lbs up to 19.8 lbs, VESA compliant 75×75mm 100×100mm,while, The whole VESA Plate is 118*118mm, Extra Longer Screw & Screw spacer may be needed if your VESA hole is inside a recession area. Pls noted that VESA plate part support 360-degree rotation(Rotate it to right position as needed) ☑FULLY ADJUSTABLE: The durable gas spring system ensure easy positioning of your monitor in any desirable position; Personalize","रू. 4,999","| Brand New","7 months ago","Kathmandu Repairs & Suppliers (Whatsapp/V.B)"
"Hitech 15"" Monitor With VGA And HDMI Port","Panel Size: 15.6 inch 473.76×296.1mm (HxV) Viewing Angle H160/V140 Max Brightness: 350cd/m2 Max Contrast Ratio: 100000:1 (DCR) Port: VGA, HDMI, AC Response Time: 5s Resolution: 1024x768 Colors: 16.7M (6-bit+Hi+FRC) Consumption: 12W 1 Year","रू. 4,999","| Brand New","2 years ago","USoft Store"
"Monitor Arm-VESA Mount For 13-32 Inch Screen NB","Weight capacity: 2kg to 9kg (4.4lbs to 19.8lbs) Monitor size: 17 inches to 27 inches VESA compatibility: 75mm x 75mm and 100mm x 100mm Tilt: +90°/-45° Swivel: 180° Rotation: 360° Arm extension: 487mm (19.17 inches) Clamp thickness: Up to 88mm (3.46 inches) Cable management: Integrated Material: Aluminum alloy and plastic Color: black","रू. 4,999","| Brand New","6 months ago","New One IT Store"
"Acer Monitor","Lcd Acer monitor 19 inch","रू. 5,000","| Like New","1 years ago","SK Gupta"
"Monitor","LED Monitor 15"" Display VGA Port 1 Year Warranty","रू. 5,000","| Brand New","9 months ago","TechmanDu NP (9818593599)"
"Original Dell Monitor","📱Contact us :- WhatsApp/Viber +9779851027794/ 9813272598","रू. 5,000","| Like New","6 months ago","Kathmandu Laptop Service (WhatsApp 9851027794)"
"Samsung Sync Master 920NW 19"" Monitor","Contact us :- WhatsApp/Viber +9779851027794/9813272598 The Sync Master 920NW 19"" Widescreen LCD Computer Display from Samsung is a flat-panel monitor featuring a thin-frame design, built with home and office use in mind. The display delivers a wide 160°/160° viewing angle, a 1440 x 900 native resolution, a high 700:1 contrast ratio and a fast 5 ms response time. Note: - We Sales and Repair All Kind of Computer, Laptop, Printer, Projector, GPU, CC T.V, Data Recovery, Computer Networking.","रू. 5,000","| Like New","1 years ago","Kathmandu Laptop Service (WhatsApp 9851027794)"
"HP Monitor","One of the newest additions to HPs redesigned line of entry-level flat panel monitors, the HP L1706 Flat Panel Monitor delivers high resolutions and business-class quality in a 17-inch flat panel monitor at a highly competitive price. 1280 x 1024 native resolution 300-nit brightness and 500:1 contrast ratio for sharp, true-to-life images Wall mountable Plug-and-play installation Energy Star compliant","रू. 5,000","| Like New","2 years ago","Kathmandu Laptop Service (WhatsApp 9851027794)"
"Dell 19 Monitor 18.5"" LCD Monitor || LED Backlit","Display Type: LED-backlit LCD monitor / TFT active matrix Diagonal Size: 18.5"" Connectivity Interfaces: VGA (HD-15) & HDMI Panel Type: TN Aspect Ratio: 16:9 Native Resolution: 1366 x 768 Pixel Pitch: 0.3 mm Pixel Per Inch: 85","रू. 5,100","| Brand New","2 months ago","Bagmati Office Suppliers Https://Bagmatisuppliers.Com.Np"
"Dell Monitor 19"" @9851138114","Brand: Dell Panel size: 19"" 409.8x230.4mm(HxV) Viewing Angle: H160/V140 Max Brightness: 350cd/m2 Max Contrast Ratio: 100000:1(DCR) Port: VGA, AC Response Time: 5S Resolution: 1368x768 Colours: 16.7M (6-bit+Hi+FRC) Consumption: 12W Monitor size: 48.26CM Stand by less than 0.5W","रू. 5,199","| Brand New","1 months ago","Subodh"
"NB F80 Monitor Stand Full Motion For 17-30''Inc","About this item ☑UNIVERSAL: Fits Most 17'' - 30'' Monitor with the load from 4.4 lbs up to 19.8 lbs, VESA compliant 75×75mm 100×100mm,while, The whole VESA Plate is 118*118mm, Extra Longer Screw & Screw spacer may be needed if your VESA hole is inside a recession area. Pls noted that VESA plate part support 360-degree rotation(Rotate it to right position as needed) ☑FULLY ADJUSTABLE: The durable gas spring system ensure easy positioning of your monitor in any desirable position; Personalize your","रू. 5,200","| Brand New","3 months ago","Tech Store"
"Zillion 18.5 Inch Monitor","Brand: Zillion 5000:1 Contrast Ratio Auto Resolution Detection 5ms Refresh Rate 17 M colors 1x VGA Port Low Power Consumption Size: 492x103x357mm Piano Shining Black","रू. 5,300","| Brand New","1 months ago","Computer Nepal"
"Hitech Monitor 15 Incch","Hitech monitor 15.6 innchvisit our shop GIT putalisadak computer bazar contact no: 9841270385","रू. 5,300","| Brand New","11 months ago","Dipak Kumar Subedi"
"Lg 19"" Led Monitor Exchange Sell","perfect condition ma cha only 5300 only serious buyers call viber WhatsApp exchange too","रू. 5,300","| Used","2 years ago","Second Hand Sell Buy Exchange"
